Rainfall_mm,Temperature_C,Humidity_%,Soil_Type,Crop_Type,Fertilizer_Used,Irrigation_Status,Region,Crop_Yield_tons_per_hectare
584.34,25.02,67.28,Peaty,Cotton,NPK,No,North,2.091
1089.41,29.71,63.64,Sandy,Rice,NPK,No,South,3.992
931.63,25.16,57.15,Clay,Soybean,NPK,Yes,Central,3.604
747.61,28.38,53.22,Peaty,Maize,Urea,Yes,Central,7.071
587.79,25.7,46.18,Clay,Wheat,NPK,No,North,3.373
307.1,29.75,47.94,Clay,Rice,Urea,No,Central,4.389
1109.1,33.73,61.47,Peaty,Rice,NPK,No,Central,3.874
914.65,24.82,53.38,Peaty,Sugarcane,Compost,Yes,Central,68.591
663.87,31.51,52.8,Loamy,Cotton,NPK,Yes,North,2.621
710.8,25.51,50.21,Clay,Maize,Compost,Yes,Central,6.174
665.37,25.54,55.6,Silty,Wheat,Urea,Yes,East,3.564
577.35,25.02,57.27,Clay,Sugarcane,DAP,No,North,91.356
904.77,18.56,53.08,Clay,Cotton,None,Yes,South,1.644
488.61,29.5,46.12,Peaty,Sugarcane,None,Yes,Central,58.556
717.22,28.42,47.11,Clay,Soybean,DAP,No,West,3.0
735.49,27.81,63.78,Clay,Cotton,None,Yes,North,2.046
951.08,34.77,44.82,Silty,Cotton,NPK,No,South,2.067
1050.59,27.075,55.74,Peaty,Maize,Compost,Yes,East,4.845
960.22,33.54,64.88,Clay,Cotton,Urea,Yes,South,2.153
651.58,25.82,47.98,Sandy,Sugarcane,None,Yes,Central,57.713
763.75,25.57,49.93,Loamy,Cotton,Compost,Yes,West,2.779
928.57,21.91,63.95,Silty,Maize,NPK,Yes,Central,7.681
906.19,27.31,39.98,Clay,Maize,NPK,Yes,South,6.035
436.69,27.04,48.97,Sandy,Soybean,NPK,Yes,North,3.025
442.17,29.69,44.44,Clay,Sugarcane,NPK,No,West,70.558
725.14,21.66,50.26,Unknown,Rice,DAP,Yes,West,5.349
992.13,25.13,68.38,Peaty,Rice,DAP,Yes,South,5.231
754.59,18.53,54.93,Peaty,Cotton,DAP,Yes,Central,2.469
864.66,23.42,48.06,Peaty,Soybean,Urea,Yes,South,3.005
691.57,31.46,42.0,Sandy,Wheat,Compost,Yes,West,2.973
819.66,21.49,55.91,Clay,Cotton,NPK,Yes,South,2.592
543.38,35.72,39.85,Loamy,Soybean,NPK,Yes,West,3.286
550.56,32.04,60.66,Silty,Sugarcane,Urea,Yes,Central,83.533
402.12,29.51,39.21,Peaty,Sugarcane,Compost,Yes,North,62.859
629.57,33.67,52.49,Peaty,Sugarcane,Urea,No,North,45.943
859.61,26.39,41.63,Clay,Sugarcane,Urea,Yes,South,64.436
547.79,23.31,35.79,Clay,Sugarcane,Urea,Yes,West,73.957
345.71,26.52,45.24,Sandy,Soybean,NPK,No,North,2.416
750.66,18.41,80.61,Sandy,Soybean,Urea,No,West,2.155
860.46,32.95,52.71,Peaty,Maize,NPK,No,Central,5.478
746.38,25.26,60.45,Unknown,Rice,Urea,Yes,South,5.029
631.3,23.22,48.68,Loamy,Sugarcane,NPK,No,West,88.514
760.12,23.8,63.34,Silty,Wheat,NPK,No,South,4.341
628.73,27.08,51.84,Clay,Soybean,None,No,West,2.347
741.19,27.6,44.85,Clay,Wheat,NPK,Yes,West,3.901
942.75,26.27,56.86,Sandy,Wheat,None,Yes,Central,2.464
832.95,26.25,42.41,Silty,Wheat,NPK,No,South,4.129
1104.99,29.75,54.99,Peaty,Maize,NPK,Yes,East,6.369
758.65,21.51,58.22,Clay,Soybean,Urea,Yes,West,3.071
627.33,28.13,47.31,Peaty,Wheat,DAP,Yes,West,3.473
724.01,25.41,51.0,Clay,Sugarcane,Urea,Yes,North,75.166
850.84,27.19,64.53,Peaty,Cotton,Compost,Yes,South,1.896
1065.31,21.58,57.29,Silty,Wheat,Compost,Yes,East,3.408
613.96,23.04,56.38,Sandy,Maize,NPK,No,Central,5.934
1079.73,35.35,56.83,Silty,Soybean,None,Yes,East,2.269
764.68,29.26,62.63,Loamy,Maize,DAP,Yes,Central,6.928
1178.1,28.35,74.04,Sandy,Wheat,Compost,No,East,2.342
1275.34,24.57,49.76,Silty,Soybean,None,Yes,East,1.969
904.26,24.44,52.87,Loamy,Cotton,DAP,Yes,South,2.847
650.6,21.09,51.13,Clay,Wheat,NPK,Yes,North,3.743
941.4,25.37,53.35,Clay,Maize,Urea,Yes,East,6.87
310.15,33.88,53.06,Peaty,Rice,NPK,Yes,West,4.59
844.75,20.41,58.65,Sandy,Sugarcane,DAP,No,West,64.621
928.43,24.07,51.0,Clay,Maize,NPK,No,West,6.256
596.95,31.63,63.28,Sandy,Soybean,Compost,No,North,2.319
849.08,31.62,60.05,Clay,Wheat,Urea,Yes,East,3.197
906.68,23.4,47.49,Peaty,Sugarcane,Urea,Yes,Central,69.88
865.76,32.82,52.47,Silty,Wheat,Compost,Yes,Central,3.16
594.4,24.83,58.56,Peaty,Soybean,None,Yes,South,2.705
571.06,21.25,58.85,Loamy,Wheat,NPK,Yes,North,4.421
1036.42,34.49,71.96,Clay,Rice,Compost,No,East,3.593
409.34,27.46,67.96,Loamy,Sugarcane,DAP,Yes,West,86.526
388.17,26.16,51.11,Loamy,Sugarcane,Compost,Yes,North,77.341
713.73,27.87,64.49,Sandy,Soybean,NPK,Yes,North,3.372
1010.46,22.15,81.58,Clay,Rice,NPK,Yes,East,5.3
757.51,24.19,55.03,Loamy,Maize,DAP,No,South,7.376
799.59,34.18,49.72,Silty,Wheat,NPK,No,South,3.49
719.83,36.3,56.44,Loamy,Cotton,NPK,Yes,South,2.68
661.31,21.43,65.97,Silty,Wheat,None,Yes,West,3.304
762.85,25.05,69.76,Sandy,Wheat,None,No,West,2.262
1176.5,27.02,64.7,Loamy,Maize,NPK,No,East,6.49
799.8,28.0,54.68,Peaty,Wheat,NPK,No,South,3.519
946.93,22.25,48.74,Sandy,Rice,DAP,Yes,East,4.273
975.17,30.25,60.14,Silty,Rice,NPK,Yes,South,5.552
692.89,30.63,44.43,Sandy,Sugarcane,DAP,Yes,North,64.38
755.62,31.25,47.34,Loamy,Soybean,DAP,Yes,Central,3.521
890.13,27.005000000000003,59.69,Clay,Cotton,DAP,No,Central,2.249
1172.54,27.41,53.23,Clay,Wheat,NPK,Yes,South,3.307
755.5,31.95,57.95,Silty,Wheat,Urea,Yes,East,3.531
877.85,29.72,65.15,Silty,Maize,Compost,Yes,West,6.012
1094.79,19.58,53.47,Clay,Soybean,Compost,No,South,2.448
723.67,19.62,49.76,Silty,Rice,Urea,Yes,South,5.668
719.57,28.54,42.82,Sandy,Cotton,Urea,Yes,West,2.417
995.4,33.43,64.66,Peaty,Sugarcane,NPK,No,South,68.609
386.53,29.23,35.83,Peaty,Rice,NPK,Yes,North,4.354
640.84,29.94,58.41,Sandy,Soybean,DAP,Yes,West,2.851
573.46,21.7,53.79,Peaty,Sugarcane,NPK,Yes,North,83.016
538.01,27.34,68.03,Loamy,Maize,NPK,No,Central,7.477
647.8399999999999,32.71,65.36,Sandy,Maize,DAP,No,West,4.967
860.18,29.23,47.71,Silty,Wheat,NPK,No,West,3.749
1252.5,27.52,79.65,Sandy,Soybean,None,No,East,1.551
834.46,29.97,52.41,Unknown,Cotton,Compost,No,East,2.3
250.29,28.13,38.55,Silty,Sugarcane,Urea,No,West,58.326
885.6,32.87,53.65,Clay,Rice,None,Yes,Central,3.586
1173.36,28.13,61.16,Silty,Soybean,Compost,No,South,2.406
1131.51,26.85,79.9,Peaty,Soybean,Urea,Yes,East,2.115
656.95,21.76,30.62,Sandy,Maize,Compost,No,Central,4.24
537.44,33.07,65.57,Loamy,Wheat,Compost,No,Central,3.067
1092.52,22.3,68.49,Silty,Wheat,NPK,Yes,East,3.673
1058.2,28.19,62.51,Silty,Sugarcane,Compost,Yes,South,66.651
901.03,31.0,53.23,Clay,Maize,DAP,Yes,East,5.967
741.26,35.95,54.08,Peaty,Soybean,NPK,Yes,Central,2.649
484.79,28.13,56.51,Clay,Cotton,Compost,Yes,North,2.152
1113.09,33.96,69.96,Unknown,Maize,Urea,Yes,East,5.219
391.17,27.14,41.17,Peaty,Sugarcane,Compost,Yes,Central,57.988
1059.5,24.2,67.38,Loamy,Sugarcane,NPK,No,East,87.466
645.11,40.83,48.2,Clay,Maize,Urea,Yes,Central,3.795
1174.81,20.91,57.89,Clay,Sugarcane,Compost,Yes,South,56.602
746.8,41.61,53.87,Silty,Maize,DAP,Yes,Central,4.923
756.16,35.14,61.47,Peaty,Rice,DAP,No,West,4.05
408.53,24.13,35.22,Sandy,Maize,DAP,Yes,North,5.334
666.79,30.25,54.42,Loamy,Maize,DAP,Yes,Central,7.833
1059.18,20.01,64.54,Loamy,Sugarcane,NPK,Yes,East,86.7
946.09,29.97,60.11,Peaty,Sugarcane,DAP,Yes,East,75.536
663.66,28.61,33.14,Silty,Wheat,NPK,Yes,Central,3.83
689.44,31.33,42.95,Silty,Wheat,Urea,Yes,West,3.334
443.01,24.98,34.67,Peaty,Rice,None,Yes,Central,3.479
821.34,27.8,51.35,Silty,Wheat,Compost,No,South,3.519
768.32,29.38,56.47,Loamy,Maize,NPK,No,West,7.956
640.95,24.56,48.64,Loamy,Sugarcane,DAP,Yes,Central,89.295
900.49,34.03,53.04,Sandy,Wheat,DAP,No,North,2.817
663.61,27.65,39.34,Peaty,Wheat,Urea,Yes,West,3.18
422.2,28.72,38.45,Clay,Rice,None,Yes,Central,3.895
616.58,22.84,44.69,Clay,Soybean,Compost,Yes,North,3.153
541.61,18.74,57.89,Unknown,Rice,Compost,Yes,Central,3.946
951.0,20.27,62.47,Sandy,Maize,NPK,Yes,South,5.929
915.14,29.98,64.57,Silty,Sugarcane,DAP,No,East,66.787
625.09,23.05,56.2,Sandy,Rice,NPK,No,Central,4.657
805.27,30.64,62.68,Sandy,Wheat,NPK,Yes,West,3.723
462.48,35.27,38.32,Clay,Sugarcane,NPK,Yes,Central,56.381
627.21,30.85,63.23,Silty,Sugarcane,Compost,Yes,Central,74.058
610.45,29.13,60.59,Sandy,Wheat,DAP,Yes,Central,3.205
900.56,30.28,55.02,Sandy,Rice,Urea,Yes,Central,3.754
597.66,32.52,59.71,Silty,Wheat,NPK,No,West,3.094
508.76,28.56,59.9,Peaty,Soybean,Compost,Yes,West,3.461
734.69,30.32,54.27,Silty,Sugarcane,DAP,No,Central,81.193
865.86,24.17,61.61,Clay,Cotton,None,Yes,East,2.202
587.59,22.12,47.6,Peaty,Cotton,Urea,No,Central,2.074
753.52,24.47,65.63,Loamy,Maize,NPK,No,West,8.226
470.09,25.37,45.78,Silty,Wheat,None,No,South,2.555
555.4,25.16,53.62,Clay,Wheat,NPK,No,Central,3.791
598.48,32.73,51.63,Peaty,Maize,NPK,Yes,Central,7.038
931.77,13.42,53.98,Silty,Maize,DAP,Yes,Central,5.334
766.8,25.93,41.7,Sandy,Maize,Urea,No,Central,4.984
545.24,30.72,57.99,Silty,Sugarcane,NPK,Yes,North,84.433
684.52,30.53,53.41,Loamy,Soybean,DAP,No,Central,3.564
668.52,22.91,68.02,Silty,Wheat,Urea,Yes,West,4.215
686.84,35.69,63.47,Peaty,Sugarcane,NPK,Yes,West,70.287
568.83,20.08,61.0,Peaty,Maize,DAP,Yes,North,5.696
991.99,25.25,65.71,Silty,Wheat,None,No,Central,3.124
934.12,25.45,64.72,Peaty,Sugarcane,NPK,No,East,71.225
726.16,25.4,55.77,Sandy,Soybean,NPK,Yes,Central,3.443
655.7,33.8,59.71,Silty,Sugarcane,NPK,Yes,West,86.057
1040.89,27.08,57.23,Sandy,Soybean,NPK,No,South,2.681
796.02,28.6,36.38,Sandy,Maize,NPK,No,South,4.933
944.98,31.4,64.56,Clay,Soybean,Compost,Yes,East,2.799
473.25,23.8,55.31,Silty,Wheat,DAP,No,Central,3.843
698.05,26.23,43.39,Peaty,Maize,NPK,Yes,North,6.386
471.57,35.38,53.54,Sandy,Wheat,NPK,Yes,Central,2.682
1080.93,28.89,65.6,Clay,Cotton,Compost,Yes,East,1.985
1252.16,21.53,73.68,Silty,Rice,Urea,No,East,3.766
1288.86,22.72,64.93,Silty,Soybean,Compost,No,East,2.007
854.1,31.46,44.91,Loamy,Rice,Urea,No,South,4.915
648.12,21.35,49.09,Loamy,Rice,None,No,Central,4.742
688.88,24.64,49.88,Sandy,Soybean,None,Yes,Central,2.425
685.11,28.02,52.76,Loamy,Maize,Urea,No,North,7.703
980.19,27.07,60.58,Sandy,Cotton,NPK,Yes,East,2.077
958.94,34.42,57.28,Peaty,Wheat,Urea,No,East,2.529
810.91,14.75,59.39,Sandy,Sugarcane,NPK,Yes,West,72.778
656.55,29.41,44.35,Loamy,Wheat,DAP,No,West,3.613
877.04,25.59,57.89,Peaty,Sugarcane,NPK,No,South,72.684
568.58,33.59,45.3,Loamy,Wheat,DAP,No,Central,3.413
704.05,25.82,52.47,Sandy,Soybean,Urea,No,North,2.767
587.06,25.97,37.11,Clay,Cotton,DAP,Yes,North,2.26
998.24,26.98,67.51,Silty,Sugarcane,Urea,No,East,75.181
270.7,23.69,42.97,Loamy,Maize,Compost,Yes,North,5.786
1143.17,24.05,65.57,Sandy,Wheat,Urea,No,East,2.516
529.86,26.26,44.03,Peaty,Wheat,Compost,No,Central,2.863
617.79,35.22,47.88,Loamy,Sugarcane,NPK,Yes,North,80.753
883.22,24.54,49.94,Loamy,Maize,NPK,No,East,7.129
539.04,23.56,52.05,Silty,Maize,NPK,Yes,Central,7.87
839.22,25.0,61.39,Sandy,Soybean,None,No,Central,2.15
1015.25,27.02,52.3,Clay,Soybean,Urea,No,East,2.807
1006.16,35.96,61.24,Peaty,Soybean,Urea,Yes,East,2.646
1192.58,23.18,61.89,Sandy,Soybean,Compost,Yes,South,2.5
990.26,39.5,61.36,Peaty,Soybean,NPK,Yes,Central,1.977
962.96,29.26,52.07,Loamy,Soybean,None,No,East,2.75
503.93,22.0,53.8,Silty,Cotton,Urea,No,Central,2.234
762.07,24.26,53.01,Silty,Maize,DAP,Yes,North,7.537
448.31,17.32,47.86,Clay,Soybean,Urea,No,West,2.455
721.28,27.53,73.15,Silty,Maize,NPK,Yes,West,7.843
959.82,32.26,45.1,Loamy,Maize,Compost,Yes,East,6.27
1011.4,27.16,64.55,Clay,Rice,Urea,Yes,East,4.989
883.94,31.01,61.16,Sandy,Cotton,Compost,Yes,Central,1.799
881.97,29.14,62.68,Silty,Soybean,NPK,Yes,East,3.729
608.78,33.05,56.86,Clay,Wheat,NPK,Yes,Central,3.96
1113.71,22.1,63.82,Loamy,Sugarcane,Urea,Yes,East,87.091
700.96,31.41,62.63,Peaty,Wheat,NPK,No,Central,3.121
1371.13,36.43,88.91,Peaty,Cotton,Compost,Yes,East,0.861
682.38,39.83,52.27,Loamy,Sugarcane,NPK,Yes,South,68.164
637.06,34.1,51.28,Loamy,Cotton,NPK,Yes,Central,2.673
745.27,27.86,46.37,Peaty,Maize,Urea,Yes,South,6.207
1026.98,22.17,57.89,Clay,Sugarcane,Urea,Yes,South,64.251
909.13,22.92,59.97,Peaty,Maize,NPK,Yes,South,6.478
1031.67,26.13,63.59,Loamy,Wheat,Urea,No,South,3.824
490.73,36.3,48.91,Silty,Wheat,NPK,No,North,2.837
754.93,24.35,60.32,Sandy,Sugarcane,NPK,Yes,West,88.353
523.16,27.9,47.26,Silty,Sugarcane,NPK,Yes,North,97.211
1021.33,31.7,80.31,Silty,Soybean,DAP,Yes,East,2.947
913.56,10.57,59.49,Loamy,Cotton,DAP,Yes,East,2.097
854.01,21.68,62.47,Peaty,Soybean,NPK,No,West,3.232
647.8399999999999,36.77,50.5,Clay,Cotton,Urea,No,West,1.575
632.94,32.21,47.84,Silty,Soybean,NPK,No,West,3.442
1167.13,32.25,59.29,Peaty,Maize,NPK,Yes,South,5.705
741.4,22.3,45.65,Clay,Sugarcane,DAP,No,North,68.431
873.52,34.26,43.69,Silty,Wheat,NPK,Yes,East,4.039
431.15,22.92,56.22,Clay,Cotton,Urea,Yes,North,2.331
627.11,27.46,47.67,Peaty,Cotton,DAP,Yes,North,2.046
647.49,30.47,52.44,Sandy,Wheat,None,No,North,2.096
828.49,31.16,68.83,Peaty,Soybean,None,No,West,2.769
438.61,29.47,52.18,Loamy,Cotton,Compost,Yes,West,2.352
1197.37,26.0,65.15,Clay,Maize,None,Yes,East,5.037
864.79,17.76,55.61,Sandy,Sugarcane,Compost,No,East,54.113
1200.2,27.41,62.78,Clay,Wheat,DAP,No,East,2.714
307.69,16.16,63.77,Clay,Sugarcane,DAP,Yes,North,57.735
482.91,29.84,51.04,Silty,Cotton,None,No,West,1.838
1158.15,22.11,87.1,Loamy,Cotton,Urea,Yes,South,2.05
816.41,26.2,45.92,Clay,Wheat,Compost,No,North,3.048
715.05,24.44,54.68,Peaty,Maize,Compost,Yes,Central,6.099
500.61,29.83,59.34,Peaty,Rice,NPK,Yes,North,5.77
647.59,23.05,61.59,Silty,Wheat,Compost,No,West,3.424
762.21,28.28,60.3,Loamy,Rice,DAP,No,Central,5.186
625.72,27.92,47.63,Loamy,Soybean,Urea,Yes,North,3.65
605.79,27.33,41.61,Peaty,Rice,Compost,Yes,West,4.218
359.68,28.96,45.76,Sandy,Maize,NPK,Yes,West,6.297
818.44,20.99,64.71,Silty,Soybean,Compost,Yes,South,3.603
316.75,21.17,59.94,Silty,Rice,NPK,No,North,4.73
764.87,34.17,56.18,Peaty,Soybean,Urea,Yes,West,2.86
1055.33,19.3,60.32,Peaty,Rice,NPK,No,East,4.112
633.31,37.83,54.34,Sandy,Maize,Compost,Yes,West,4.08
862.38,26.31,59.01,Sandy,Rice,Urea,No,South,4.746
944.92,22.75,68.39,Loamy,Rice,Compost,Yes,West,6.102
721.96,31.31,51.49,Silty,Rice,NPK,Yes,North,6.195
580.8,24.19,50.67,Silty,Wheat,NPK,Yes,North,3.865
619.29,28.69,56.08,Peaty,Wheat,DAP,No,Central,3.051
743.5,33.22,49.81,Loamy,Wheat,NPK,Yes,North,4.161
716.58,30.57,46.98,Silty,Maize,Urea,Yes,Central,6.304
902.75,29.13,69.28,Loamy,Soybean,Urea,No,East,3.716
